X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezgene_id
ENST00000513206.5,22.61517446,-7.910525583,2.115868558,-3.738665879,0.000184999,0.026371179,7204
ENST00000513328.6,30.6194049,-8.346262785,2.265690267,-3.683761592,0.000229817,0.031278237,118
ENST00000515601.6,121.8741451,-2.087420971,0.575316961,-3.628297292,0.000285297,0.037328376,11336
ENST00000520638.1,42.30462403,-6.367845866,1.449612687,-4.392791207,1.11905E-05,0.003108537,153830
ENST00000521777.5,40.80880734,-8.762038233,2.306263676,-3.799235241,0.000145143,0.02214682,55756
ENST00000525132.1,89.17373874,-2.241600057,0.605681054,-3.700957862,0.000214787,0.029703922,7812
ENST00000525152.1,18.37454467,-7.610413234,2.159265247,-3.52453838,0.000424221,0.048891962,55291
ENST00000529388.6,45.67694059,-8.924655653,1.841033608,-4.847633207,1.24943E-06,0.000604279,406
ENST00000529927.5,415.5402563,-2.260341245,0.432239212,-5.229375732,1.70083E-07,0.000121225,4723
ENST00000530137.1,31.31745327,-8.378779952,2.226366666,-3.763432179,0.000167597,0.024590584,55298
ENST00000530500.5,39.78676625,-8.72545017,1.866209252,-4.675494005,2.93247E-06,0.001094128,9776
ENST00000534319.5,1508.021058,-2.741469319,0.445219526,-6.15756758,7.38707E-10,1.73975E-06,3312
ENST00000536260.5,25.19203651,-8.065149777,2.008946704,-4.014616099,5.95426E-05,0.010896301,131675794
ENST00000537045.5,128.805228,-2.819618828,0.72931675,-3.866110065,0.000110585,0.017722399,9993
ENST00000537449.5,28.59580469,-8.248419851,1.925661152,-4.283422265,1.8404E-05,0.004450492,2690
ENST00000538977.5,59.4418493,-5.814693456,1.237841975,-4.697444078,2.63437E-06,0.00101528,23398
ENST00000539935.7,20.16290246,-7.744202946,2.103166603,-3.682163331,0.000231263,0.031396148,785
ENST00000539978.6,26.36284633,-8.13097225,1.964672194,-4.138589774,3.49447E-05,0.007308437,55198
ENST00000540401.5,20.36201962,-7.757818786,2.166331365,-3.581085936,0.000342169,0.042316472,55297
ENST00000541586.5,41.13450566,-8.77295975,1.787039955,-4.909212985,9.14426E-07,0.000471676,83605
ENST00000542016.6,84.19220014,-9.806461218,1.621309554,-6.048481731,1.46217E-09,3.02865E-06,55147
ENST00000543642.5,53.08182843,-9.141146384,1.731834866,-5.278301393,1.30387E-07,9.9476E-05,5638
ENST00000544168.5,29.07055722,-8.27217311,1.918425491,-4.311959546,1.61814E-05,0.004002348,207
ENST00000545990.6,21.00175517,-7.802832978,2.088459035,-3.736167598,0.000186846,0.026463631,10566
ENST00000552254.5,470.782979,-1.427595116,0.384379373,-3.714026338,0.000203988,0.028405135,1019
ENST00000553674.1,26.02690702,-8.112583207,1.968687599,-4.120807797,3.77546E-05,0.007557599,55148
ENST00000554943.6,55.54994101,-7.753760575,1.689474031,-4.589452357,4.4441E-06,0.001495206,55671
ENST00000555053.5,67.20180563,-9.481663579,1.7618474,-5.381659945,7.38021E-08,6.34557E-05,22985
ENST00000555873.1,43.29293691,-8.8461651,1.835912201,-4.818403132,1.44712E-06,0.000658718,10972
